text,true_label,predicted_label,confidence,is_correct,prob_negative,prob_neutral,prob_positive
"restoran ala kamu bisa makan ini sudah bertahan cukup lama . di sini yang menjadi favorit saya adalah thai thea dan daging nya yang enak . siap-siap kekenyangan karena banyak pilihan makanan di sini . hanya terutama di cabang mal istana plaza pelayanan sering buruk dan mengecewakan . asap juga cukup mengganggu di dalam . secara keseluruhan baik review saya adalah rasa makanan enak dan baik , tetapi sangat perlu banyak perbaikan dalam pelayanan .",negative,positive,0.989382856173867,False,0.010153811747757447,0.00046333207837551474,0.989382856173867
tidak mantap,negative,positive,0.9864080999183509,False,0.013365430966701583,0.00022646911494762304,0.9864080999183509
"tempat nya nyaman , apalagi di malam hari pemandangan nya pasti romantis . tapi rasa makanan tidak semewah harga nya . secara keseluruhan baik , overpriced untuk pengunjung keluarga , grup teman atau bisnis .",negative,positive,0.9855194142793765,False,0.012095702523888556,0.0023848831967349326,0.9855194142793765
"terletak di ketinggian kota bandung . suasana resto sangat santai dan nyaman . jika malam , pilihlah duduk di pinggir dekat jendela , lilatlah bandung di malam hari bersama pasangan anda . ada live musik dan anda bisa menyumbangkan suara emas anda di sana . pilihan menu cukup dengan rasa yang rata-rata mendekati tidak enak . tidak ada menu yang special di sini .",negative,positive,0.9829533531447817,False,0.01623836319972086,0.0008082836554974725,0.9829533531447817
"harus pimpinan fpi insya allah tidak punya pemikiran seperti itu , sabotase jelas di luar konteks ajaran islam , islam itu rahmatan lil alamin .",positive,negative,0.9767497591221196,False,0.9767497591221196,0.011086768942856996,0.012163471935023451
senyum saja . tidak perlu banyak marah-marah,positive,negative,0.974702035912633,False,0.974702035912633,0.0015323220110280136,0.0237656420763389
tidak malas,positive,negative,0.9729774725991213,False,0.9729774725991213,0.010119117240990917,0.016903410159887753
"sudah setahun setelah terakhir bandung akhirnya saya makan di cost lagi . d cost adalah tempat makan favorit saya karena masakan nya enak , bersih dan harga nya murah . tapi setelah makan di di cost bin kemarin , yang saya dapati adalah menu-menu yang tidak ada atau habis . akhirnya saya dan keluarga hanya makan udang , tom yum dan sayur . rasanya jauh dari enak . tomyum nya tidak .",negative,positive,0.966393246673003,False,0.03277067690848343,0.000836076418513718,0.966393246673003
"saya dan isteri tergoda untuk mengunjungi restoran ini saat kami sekeluarga berkunjung ke bandung minggu lalu , karena berdasarkan penilaian trip advisor kafe oz merupakan restoran terbaik di bandung . malam sekitar jam 7 private message saya dan isteri sudah sampai di kafe oz dan mendapati suasana restoran yang tidak terlalu ramai terisi sekitar 4 meja saja , karena kami hanya berdua ingin berbincang .",negative,positive,0.9663207613501236,False,0.0261270408143911,0.0075521978354852436,0.9663207613501236
"tempat makan yang menyajikan sop iga dan buntut spesial cabe rawit yang memiliki citarasa pedas yang medium , dan juga banyak variasi makanan lain ala barat dan indonesia dan beragam minuman unik segar dan beragam pilihan , akan tetapi untuk harga untuk kelas menengah ke atas , dan suasana tempat nya kurang nyaman .",negative,positive,0.9652665767474883,False,0.011399846715945329,0.023333576536566314,0.9652665767474883
"tertarik masuk restoran ini karena ramai , interior nya yang seperti menonjolkan suasana rumah zaman dulu , dan buku menu yang menawarkan menu dengan harga pas di kantong . setelah saya memesan ternyata kesan pas di kantong menjadi berubah . menu ikan kembung yang lebih murah ternyata tanpa nasi . untuk menu satu piring ikan kembung ala rumahan beserta lauk lain pelengkap nya dan segelas teh tarik , . lanjutan",negative,positive,0.9636943735323014,False,0.03406546309279541,0.00224016337490339,0.9636943735323014
tidak mahal,positive,negative,0.9581839620956907,False,0.9581839620956907,0.009419607845880458,0.03239643005842887
tidak aib,positive,negative,0.9552031993385078,False,0.9552031993385078,0.004910718108363078,0.03988608255312905
"malam itu saya bersama pasangan saya memutuskan untuk mencari makanan pengganjal perut selepas pulang kerja . pilihan saya jatuh pada kafe ini , yang saya ku njungi adalah kafe madtari yang berada di jalan rangga gading , yang dekat dengan dago plaza . waktu itu saya memesan roti bakar susu keju dan mi rebus telor kornet . kesan pertama yang saya dapat adalah harga yang ditawarkan mahal .",negative,positive,0.9509625625786459,False,0.038238476972861375,0.010798960448492878,0.9509625625786459
saya memesan makanan jenis burger dan rasanya lumayan baik . french fries yang menjadi side dish nya sangat enak dan pas banget rasa asin nya . terdapat cake yang diletakkan di sejenis conveyor belt makanan yang bergerak ala jepang tetapi kue terlihat kurang segar sehinga saya tidak mencoba nya . secara keseluruhan baik biasa sekali .,negative,positive,0.9486578759880961,False,0.05058138652826832,0.0007607374836355929,0.9486578759880961
tidak berbohong,positive,negative,0.9483509904933095,False,0.9483509904933095,0.015024141468272736,0.03662486803841781
tidak duka,positive,negative,0.9442053647497272,False,0.9442053647497272,2.5076707607122892e-05,0.05576955854266566
tidak keberatan,positive,negative,0.9442053647497272,False,0.9442053647497272,2.5076707607122892e-05,0.05576955854266566
"mochi nya enak , banyak rasa , mulai dari vanilla , strawberry , cookies and cream , tiramisu , duran , dll. namun sayang lokasi nya tidak strategis , harus masuk gang-gang kecil dan hanya berupa rumah industri sederhana .",negative,positive,0.9440023282924136,False,0.04461449133424744,0.01138318037333899,0.9440023282924136
tidak bangkrut,positive,negative,0.9394664291948364,False,0.9394664291948364,0.009137964404553231,0.05139560640061047
tidak ngancem,positive,negative,0.9354001566205655,False,0.9354001566205655,0.0026592486985364205,0.06194059468089801
